P,PID,ID,Author,Title,Vol,Contents
1,1913639,5,塚本哲三等編,有朋堂文庫,91,近代歌謡集
1,1913648,5,塚本哲三等編,有朋堂文庫,92,江戸名所図絵-1
1,1913658,5,塚本哲三等編,有朋堂文庫,93,江戸名所図絵-2
1,1913680,5,塚本哲三等編,有朋堂文庫,95,江戸名所図絵-4
1,1913694,5,塚本哲三等編,有朋堂文庫,96,日記紀行集
1,1913773,5,塚本哲三等編,有朋堂文庫,103,水滸画伝-1
1,1913779,5,塚本哲三等編,有朋堂文庫,104,水滸画伝-2
1,1913787,5,塚本哲三等編,有朋堂文庫,105,水滸画伝-3
1,1913803,5,塚本哲三等編,有朋堂文庫,106,水滸画伝-4
1,1913539,5,塚本哲三等編,有朋堂文庫,107,雅文小説集
1,1913576,5,塚本哲三等編,有朋堂文庫,110,諺紫田舎源氏-1
1,1913606,5,塚本哲三等編,有朋堂文庫,112,娘節用
1,1913628,5,塚本哲三等編,有朋堂文庫,115,黄表紙
1,1913636,5,塚本哲三等編,有朋堂文庫,116,浄瑠璃名作集-1
1,1913550,5,塚本哲三等編,有朋堂文庫,117,浄瑠璃名作集-2
1,1913564,5,塚本哲三等編,有朋堂文庫,118,浄瑠璃名作集-3
1,1913574,5,塚本哲三等編,有朋堂文庫,119,脚本集-1
1,1913594,5,塚本哲三等編,有朋堂文庫,120,脚本集-2
1,1085712,6,漢文叢書,漢文叢書,0,韓非子
1,924744,6,漢文叢書,漢文叢書,0,荀子
1,958947,6,漢文叢書,漢文叢書,1,蒙求
1,958948,6,漢文叢書,漢文叢書,2,近思録・伝習録
1,1118548,6,漢文叢書,漢文叢書,3,国語
1,958951,6,漢文叢書,漢文叢書,4,文章軌範・東莱博議
1,958953,6,漢文叢書,漢文叢書,6,老子・荘子・列子
1,958954,6,漢文叢書,漢文叢書,7,管子
1,958955,6,漢文叢書,漢文叢書,9,酔古堂劒掃・菜根譚
1,958956,6,漢文叢書,漢文叢書,10,先哲叢談
1,958957,6,漢文叢書,漢文叢書,11,呂氏春秋
1,958958,6,漢文叢書,漢文叢書,12,史記-1
1,958959,6,漢文叢書,漢文叢書,12,史記-2
1,1118527,6,漢文叢書,漢文叢書,12,史記-3
1,1118539,6,漢文叢書,漢文叢書,12,史記-4
1,1118551,6,漢文叢書,漢文叢書,12,史記-5
1,1118547,6,漢文叢書,漢文叢書,12,史記-6
1,958962,6,漢文叢書,漢文叢書,13,十八史略
1,958963,6,漢文叢書,漢文叢書,14,唐詩選・三体詩
1,1118557,6,漢文叢書,漢文叢書,15,戦国策
1,958965,6,漢文叢書,漢文叢書,16,晏子春秋・新序
1,1118535,6,漢文叢書,漢文叢書,17,礼記
1,1106073,6,漢文叢書,漢文叢書,18,詩書易
1,1150113,6,漢文叢書,漢文叢書,19,四書
1,1118534,6,漢文叢書,漢文叢書,20,孔子家語
1,1118536,6,漢文叢書,漢文叢書,21,古烈女伝
1,1118538,6,漢文叢書,漢文叢書,22,唐宋八大家-1
1,1118546,6,漢文叢書,漢文叢書,22,唐宋八大家-2
1,1118541,6,漢文叢書,漢文叢書,23,古文真宝
1,958966,6,漢文叢書,漢文叢書,24,春秋左氏伝-1
1,1118543,6,漢文叢書,漢文叢書,24,春秋左氏伝-2
1,899878,7,富山房,漢文大系,0,史記列伝-1
1,899879,7,富山房,漢文大系,0,史記列伝-2
1,941449,7,富山房,漢文大系,15,荀子
1,2583390,9999,一言芳談抄,一言芳談抄,1,
1,1054080,9999,三代法語抄,三代法語抄,1,
